simulating fixed probability counter with p=0.5 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36743
o: 19292
i: 9856
e: 7376
a: 7252
g: 4858
m: 4778
u: 2495
f: 2492
d: 2440
l: 2418

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
g                  2466              4932          4858                6            6  101.5232606010704%                 74  1.5232606010703995%
m                  2317              4634          4778                7            7  96.98618668899121%                144  3.01381331100879%
u                  1244              2488          2495                8            8  99.71943887775551%                  7  0.280561122244489%
f                  1225              2450          2492                9            9  98.31460674157303%                 42  1.6853932584269662%
d                  1209              2418          2440               10           10  99.09836065573771%                 22  0.9016393442622952%
l                  1204              2408          2418               11           11  99.58643507030604%                 10  0.41356492969396197%

######################## Simulation nr 8 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18402             36804         36743                1            1  100.16601801703726%                61  0.1660180170372588%
o                  9722             19444         19292                2            2  100.7878913539291%                152  0.7878913539290898%
i                  4993              9986          9856                3            3  101.31899350649351%               130  1.3189935064935063%
e                  3682              7364          7376                4            4  99.83731019522777%                 12  0.16268980477223427%
a                  3635              7270          7252                5            5  100.24820739106453%                18  0.2482073910645339%
g                  2498              4996          4858                6            6  102.84067517496914%               138  2.840675174969123%
m                  2387              4774          4778                7            7  99.91628296358309%                  4  0.08371703641691085%
u                  1274              2548          2495                8            8  102.124248496994%                  53  2.124248496993988%
d                  1231              2462          2440                9           10  100.9016393442623%                 22  0.9016393442622952%
f                  1228              2456          2492               10            9  98.5553772070626%                  36  1.4446227929373996%
l                  1217              2434          2418               11           11  100.66170388751034%                16  0.6617038875103392%

######################## Simulation nr 9 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18274             36548         36743                1            1  99.4692866668481%                 195  0.530713333151893%
o                  9605             19210         19292                2            2  99.57495334853826%                 82  0.42504665146174575%
i                  4970              9940          9856                3            3  100.85227272727273%                84  0.8522727272727272%
e                  3604              7208          7376                4            4  97.72234273318871%                168  2.27765726681128%
a                  3592              7184          7252                5            5  99.06232763375621%                 68  0.9376723662437948%
m                  2447              4894          4778                6            7  102.42779405609042%               116  2.4277940560904145%
g                  2424              4848          4858                7            6  99.79415397282833%                 10  0.20584602717167558%
f                  1293              2586          2492                8            9  103.77207062600323%                94  3.77207062600321%
d                  1227              2454          2440                9           10  100.57377049180327%                14  0.5737704918032787%
l                  1213              2426          2418               10           11  100.33085194375518%                 8  0.3308519437551696%
u                  1185              2370          2495               11            8  94.98997995991984%                125  5.01002004008016%

######################## Simulation nr 10 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                 18366             36732         36743                1            1  99.97006232479656%                 11  0.029937675203440112%
o                  9624             19248         19292                2            2  99.77192618702053%                 44  0.22807381297947335%
i                  4879              9758          9856                3            3  99.00568181818183%                 98  0.9943181818181818%
e                  3681              7362          7376                4            4  99.81019522776573%                 14  0.1898047722342733%
a                  3639              7278          7252                5            5  100.35852178709321%                26  0.35852178709321564%
g                  2458              4916          4858                6            6  101.19390695759571%                58  1.1939069575957184%
m                  2384              4768          4778                7            7  99.79070740895773%                 10  0.2092925910422771%
u                  1256              2512          2495                8            8  100.6813627254509%                 17  0.6813627254509018%
d                  1249              2498          2440                9           10  102.37704918032786%                58  2.3770491803278686%
f                  1200              2400          2492               10            9  96.30818619582665%                 92  3.6918138041733553%
l                  1186              2372          2418               11           11  98.09760132340777%                 46  1.902398676592225%

######################## Simulation nr 11 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
