simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500000
Exact occurrences of the chain:
r: 182911
o: 96970
i: 48588
e: 36825
a: 36733
m: 24648
g: 24416
f: 12363
d: 12273
l: 12173
u: 12100

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
a                    29              55937         36733                 3            5  152.27996624288787%             19204  52.279966242887866%
e                    28              39553         36825                 4            4  107.408010862186%                2728  7.408010862186015%
m                    28              39553         24648                 5            6  160.47143784485556%             14905  60.47143784485557%
g                    26              19776         24416                 6            7  80.99606815203146%               4640  19.003931847968545%
u                    26              19776         12100                 7           11  163.43801652892563%              7676  63.43801652892562%
i                    25              13984         48588                 8            3  28.78076891413518%              34604  71.21923108586482%
d                    25              13984         12273                 9            9  113.94117167766642%              1711  13.941171677666423%
f                    24               9888         12363                10            8  79.98058723610774%               2475  20.01941276389226%
l                    22               4943         12173                11           10  40.60625975519593%               7230  59.39374024480407%


######################## Simulation nr 20 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    33             223753        182911                 1            1  122.32889219347113%             40842  22.32889219347114%
o                    31             111876         96970                 2            2  115.37176446323605%             14906  15.371764463236051%
i                    29              55937         48588                 3            3  115.12513377788753%              7349  15.125133777887545%
e                    28              39553         36825                 4            4  107.408010862186%                2728  7.408010862186015%
m                    28              39553         24648                 5            6  160.47143784485556%             14905  60.47143784485557%
a                    28              39553         36733                 6            5  107.67702066261944%              2820  7.677020662619443%
g                    25              13984         24416                 7            7  57.27391874180865%              10432  42.72608125819135%
f                    25              13984         12363                 8            8  113.11170427889672%              1621  13.111704278896708%
d                    24               9888         12273                 9            9  80.56709850892202%               2385  19.432901491077974%
l                    24               9888         12173                10           10  81.2289493140557%                2285  18.771050685944303%
u                    23               6991         12100                11           11  57.776859504132226%              5109  42.22314049586777%


