simulating fixed probability counter with p=0.5 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
o                   965               1930          1969                 2            2  98.01929913661758%                 39  1.9807008633824275%
i                   460                920           933                 3            3  98.60664523043944%                 13  1.3933547695605575%
a                   400                800           749                 4            4  106.80907877169558%                51  6.809078771695594%
e                   352                704           696                 5            5  101.14942528735634%                 8  1.1494252873563218%
g                   247                494           494                 6            6  100.0%                              0  0.0%
m                   244                488           479                 7            7  101.87891440501045%                 9  1.8789144050104383%
d                   132                264           247                 8            9  106.88259109311741%                17  6.882591093117409%
f                   126                252           234                 9           10  107.6923076923077%                 18  7.6923076923076925%
l                   123                246           253                10            8  97.23320158102767%                  7  2.766798418972332%
u                   116                232           230                11           11  100.8695652173913%                  2  0.8695652173913043%


######################## Simulation nr 19 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                  1809               3618          3716                 1            1  97.36275565123789%                 98  2.63724434876211%
o                   954               1908          1969                 2            2  96.90198070086338%                 61  3.0980192991366176%
i                   466                932           933                 3            3  99.89281886387997%                  1  0.10718113612004287%
a                   365                730           749                 4            4  97.46328437917224%                 19  2.53671562082777%
e                   318                636           696                 5            5  91.37931034482759%                 60  8.620689655172415%
g                   262                524           494                 6            6  106.07287449392713%                30  6.0728744939271255%
m                   239                478           479                 7            7  99.79123173277662%                  1  0.20876826722338201%
l                   124                248           253                 8            8  98.02371541501977%                  5  1.9762845849802373%
d                   122                244           247                 9            9  98.78542510121457%                  3  1.214574898785425%
f                   119                238           234                10           10  101.7094017094017%                  4  1.7094017094017095%
u                   106                212           230                11           11  92.17391304347827%                 18  7.82608695652174%


######################## Simulation nr 20 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                  1837               3674          3716                 1            1  98.8697524219591%                  42  1.1302475780409043%
o                   988               1976          1969                 2            2  100.35551041137634%                 7  0.35551041137633316%
i                   495                990           933                 3            3  106.10932475884245%                57  6.109324758842444%
a                   371                742           749                 4            4  99.06542056074767%                  7  0.9345794392523363%
e                   369                738           696                 5            5  106.03448275862068%                42  6.0344827586206895%
m                   243                486           479                 6            7  101.46137787056368%                 7  1.4613778705636742%
g                   223                446           494                 7            6  90.2834008097166%                  48  9.7165991902834%
l                   129                258           253                 8            8  101.97628458498025%                 5  1.9762845849802373%
d                   123                246           247                 9            9  99.59514170040485%                  1  0.4048582995951417%
f                   110                220           234                10           10  94.01709401709401%                 14  5.982905982905983%
u                    89                178           230                11           11  77.39130434782608%                 52  22.608695652173914%


