simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1789
o: 992
i: 477
a: 403
e: 373
m: 249
g: 223
u: 137
f: 128
l: 117
d: 112

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   887              1774          1789                1            1  99.16154276131918%                 15  0.8384572386808273%
o                   512              1024           992                2            2  103.2258064516129%                 32  3.225806451612903%
i                   262               524           477                3            3  109.85324947589099%                47  9.853249475890985%
a                   190               380           403                4            4  94.29280397022333%                 23  5.707196029776675%
e                   187               374           373                5            5  100.26809651474531%                 1  0.2680965147453083%
m                   137               274           249                6            6  110.04016064257027%                25  10.040160642570282%
g                   112               224           223                7            7  100.44843049327355%                 1  0.4484304932735426%
l                    71               142           117                8           10  121.36752136752136%                25  21.367521367521366%
u                    69               138           137                9            8  100.72992700729928%                 1  0.7299270072992701%
f                    67               134           128               10            9  104.6875%                           6  4.6875%
d                    51               102           112               11           11  91.07142857142857%                 10  8.928571428571429%

######################## Simulation nr 19 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   902              1804          1789                1            1  100.83845723868083%                15  0.8384572386808273%
o                   515              1030           992                2            2  103.83064516129032%                38  3.8306451612903225%
i                   230               460           477                3            3  96.43605870020964%                 17  3.563941299790356%
a                   190               380           403                4            4  94.29280397022333%                 23  5.707196029776675%
e                   188               376           373                5            5  100.80428954423593%                 3  0.8042895442359249%
m                   126               252           249                6            6  101.20481927710843%                 3  1.2048192771084338%
g                   103               206           223                7            7  92.37668161434978%                 17  7.623318385650224%
u                    72               144           137                8            8  105.1094890510949%                  7  5.109489051094891%
f                    70               140           128                9            9  109.375%                           12  9.375%
d                    56               112           112               10           11  100.0%                              0  0.0%
l                    53               106           117               11           10  90.5982905982906%                  11  9.401709401709402%

######################## Simulation nr 20 ########################
Fixed probabilistic counter with chance: 50.0%
