simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
m                    16                617           479                 5            7  128.8100208768267%                138  28.81002087682672%
a                    16                617           749                 6            4  82.37650200267022%                132  17.623497997329775%
u                    15                436           230                 7           11  189.56521739130434%               206  89.56521739130436%
g                    14                308           494                 8            6  62.34817813765182%                186  37.65182186234818%
l                    14                308           253                 9            8  121.73913043478262%                55  21.73913043478261%
f                    12                154           234                10           10  65.8119658119658%                  80  34.18803418803419%
d                    12                154           247                11            9  62.34817813765182%                 93  37.65182186234818%


######################## Simulation nr 14 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                    19               1747          1969                 1            2  88.72524123920772%                222  11.274758760792281%
r                    18               1235          3716                 2            1  33.23466092572659%               2481  66.76533907427341%
e                    17                873           696                 3            5  125.43103448275863%               177  25.43103448275862%
u                    16                617           230                 4           11  268.2608695652174%                387  168.2608695652174%
m                    15                436           479                 5            7  91.02296450939458%                 43  8.977035490605429%
i                    15                436           933                 6            3  46.730975348338696%               497  53.26902465166131%
a                    15                436           749                 7            4  58.2109479305741%                 313  41.7890520694259%
d                    14                308           247                 8            9  124.69635627530364%                61  24.696356275303643%
g                    14                308           494                 9            6  62.34817813765182%                186  37.65182186234818%
f                    12                154           234                10           10  65.8119658119658%                  80  34.18803418803419%
l                    11                108           253                11            8  42.68774703557312%                145  57.31225296442688%


######################## Simulation nr 15 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    21               3495          3716                 1            1  94.05274488697523%                221  5.947255113024758%
o                    19               1747          1969                 2            2  88.72524123920772%                222  11.274758760792281%
i                    19               1747           933                 3            3  187.2454448017149%                814  87.2454448017149%
a                    19               1747           749                 4            4  233.24432576769024%               998  133.24432576769024%
e                    17                873           696                 5            5  125.43103448275863%               177  25.43103448275862%
g                    14                308           494                 6            6  62.34817813765182%                186  37.65182186234818%
m                    13                218           479                 7            7  45.51148225469729%                261  54.48851774530271%
u                    13                218           230                 8           11  94.78260869565217%                 12  5.217391304347826%
d                    13                218           247                 9            9  88.25910931174089%                 29  11.740890688259109%
l                    13                218           253                10            8  86.16600790513834%                 35  13.83399209486166%
f                    12                154           234                11           10  65.8119658119658%                  80  34.18803418803419%


######################## Simulation nr 16 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    23               6991          3716                 1            1  188.1324004305705%               3275  88.1324004305705%
o                    18               1235          1969                 2            2  62.72219400711021%                734  37.27780599288979%
i                    18               1235           933                 3            3  132.36870310825296%               302  32.36870310825295%
m                    16                617           479                 4            7  128.8100208768267%                138  28.81002087682672%
a                    16                617           749                 5            4  82.37650200267022%                132  17.623497997329775%
e                    15                436           696                 6            5  62.643678160919535%               260  37.35632183908046%
d                    15                436           247                 7            9  176.51821862348177%               189  76.51821862348179%
g                    15                436           494                 8            6  88.25910931174089%                 58  11.740890688259109%
u                    14                308           230                 9           11  133.91304347826087%                78  33.91304347826087%
f                    13                218           234                10           10  93.16239316239316%                 16  6.837606837606838%
l                    12                154           253                11            8  60.86956521739131%                 99  39.130434782608695%


######################## Simulation nr 17 ########################
